,0
0,Arkansas
1,Colorado
2,Connecticut
3,Delaware
4,Florida
5,Georgia
6,Hawaii
7,Idaho
8,Illinois
9,Indiana
10,Iowa
11,Kansas
12,Kentucky
13,Louisiana
14,Maine
15,Maryland
16,Massachusetts
17,Michigan
18,Minnesota
19,Mississippi
20,Missouri
21,Montana
22,Nebraska
23,Nevada
24,New Hampshire
25,New Jersey
26,New Mexico
27,North Carolina
28,North Dakota
29,Oklahoma
30,Oregon
31,Pennsylvania
32,Rhode Island
33,South Carolina
34,South Dakota
35,Tennessee
36,Utah
37,Vermont
38,Virginia
39,West Virginia
40,Wisconsin
41,Wyoming
